elements,time,sum,technique
"1000000","1.964","14.392727","sumSeq"
"1000000","0.038","14.392727","sumMemcpyCuda"
"1000000","0.035","14.392727","sumInplaceCuda"
"10000000","15.361","16.695311","sumSeq"
"10000000","0.128","16.695311","sumMemcpyCuda"
"10000000","0.122","16.695311","sumInplaceCuda"
"100000000","144.628","18.997896","sumSeq"
"100000000","0.995","18.997896","sumMemcpyCuda"
"100000000","0.995","18.997896","sumInplaceCuda"
"1000000000","1547.48","21.300482","sumSeq"
"1000000000","10.284","21.300482","sumMemcpyCuda"
"1000000000","9.911","21.300482","sumInplaceCuda"
