# Elements 1e+06
[00002.085 ms] [14.357358] sumSeq
[00000.031 ms] [14.392727] sumCuda<<<1024, 32>>>
[00000.030 ms] [14.392727] sumCuda<<<1024, 64>>>
[00000.030 ms] [14.392727] sumCuda<<<1024, 128>>>
[00000.032 ms] [14.392726] sumCuda<<<1024, 256>>>
[00000.036 ms] [14.392726] sumCuda<<<1024, 512>>>
[00000.048 ms] [11.393406] sumCuda<<<1024, 1024>>>
[00000.034 ms] [14.392727] sumCuda<<<2048, 32>>>
[00000.033 ms] [14.392727] sumCuda<<<2048, 64>>>
[00000.033 ms] [14.392726] sumCuda<<<2048, 128>>>
[00000.037 ms] [14.392726] sumCuda<<<2048, 256>>>
[00000.046 ms] [14.392725] sumCuda<<<2048, 512>>>
[00000.048 ms] [11.393406] sumCuda<<<2048, 1024>>>
[00000.036 ms] [14.392727] sumCuda<<<4096, 32>>>
[00000.036 ms] [14.392727] sumCuda<<<4096, 64>>>
[00000.037 ms] [14.392726] sumCuda<<<4096, 128>>>
[00000.044 ms] [13.006533] sumCuda<<<4096, 256>>>
[00000.045 ms] [14.392725] sumCuda<<<4096, 512>>>
[00000.048 ms] [11.393406] sumCuda<<<4096, 1024>>>
[00000.043 ms] [14.392727] sumCuda<<<8192, 32>>>
[00000.043 ms] [14.392727] sumCuda<<<8192, 64>>>
[00000.042 ms] [12.686688] sumCuda<<<8192, 128>>>
[00000.046 ms] [13.006533] sumCuda<<<8192, 256>>>
[00000.047 ms] [14.392725] sumCuda<<<8192, 512>>>
[00000.048 ms] [11.393406] sumCuda<<<8192, 1024>>>
[00000.057 ms] [14.392727] sumCuda<<<16384, 32>>>
[00000.056 ms] [12.374524] sumCuda<<<16384, 64>>>
[00000.043 ms] [12.686688] sumCuda<<<16384, 128>>>
[00000.043 ms] [13.006533] sumCuda<<<16384, 256>>>
[00000.048 ms] [14.392725] sumCuda<<<16384, 512>>>
[00000.049 ms] [11.393406] sumCuda<<<16384, 1024>>>
[00000.086 ms] [12.049178] sumCuda<<<32768, 32>>>
[00000.056 ms] [12.374524] sumCuda<<<32768, 64>>>
[00000.042 ms] [12.686688] sumCuda<<<32768, 128>>>
[00000.046 ms] [13.006533] sumCuda<<<32768, 256>>>
[00000.046 ms] [14.392725] sumCuda<<<32768, 512>>>
[00000.048 ms] [11.393406] sumCuda<<<32768, 1024>>>

# Elements 1e+07
[00014.396 ms] [15.403683] sumSeq
[00000.079 ms] [16.695312] sumCuda<<<1024, 32>>>
[00000.074 ms] [16.695312] sumCuda<<<1024, 64>>>
[00000.073 ms] [16.695312] sumCuda<<<1024, 128>>>
[00000.074 ms] [16.695312] sumCuda<<<1024, 256>>>
[00000.075 ms] [16.695312] sumCuda<<<1024, 512>>>
[00000.078 ms] [16.695312] sumCuda<<<1024, 1024>>>
[00000.088 ms] [16.695311] sumCuda<<<2048, 32>>>
[00000.081 ms] [16.695311] sumCuda<<<2048, 64>>>
[00000.079 ms] [16.695311] sumCuda<<<2048, 128>>>
[00000.079 ms] [16.695312] sumCuda<<<2048, 256>>>
[00000.079 ms] [16.695311] sumCuda<<<2048, 512>>>
[00000.090 ms] [16.695311] sumCuda<<<2048, 1024>>>
[00000.085 ms] [16.695311] sumCuda<<<4096, 32>>>
[00000.079 ms] [16.695311] sumCuda<<<4096, 64>>>
[00000.076 ms] [16.695311] sumCuda<<<4096, 128>>>
[00000.078 ms] [16.695312] sumCuda<<<4096, 256>>>
[00000.080 ms] [16.695311] sumCuda<<<4096, 512>>>
[00000.136 ms] [16.695311] sumCuda<<<4096, 1024>>>
[00000.082 ms] [16.695311] sumCuda<<<8192, 32>>>
[00000.077 ms] [16.695311] sumCuda<<<8192, 64>>>
[00000.077 ms] [16.695312] sumCuda<<<8192, 128>>>
[00000.078 ms] [16.695312] sumCuda<<<8192, 256>>>
[00000.118 ms] [16.695311] sumCuda<<<8192, 512>>>
[00000.214 ms] [16.695311] sumCuda<<<8192, 1024>>>
[00000.083 ms] [16.695311] sumCuda<<<16384, 32>>>
[00000.079 ms] [16.695311] sumCuda<<<16384, 64>>>
[00000.079 ms] [16.695311] sumCuda<<<16384, 128>>>
[00000.109 ms] [16.695311] sumCuda<<<16384, 256>>>
[00000.178 ms] [16.695312] sumCuda<<<16384, 512>>>
[00000.222 ms] [16.272846] sumCuda<<<16384, 1024>>>
[00000.084 ms] [16.695311] sumCuda<<<32768, 32>>>
[00000.081 ms] [16.695311] sumCuda<<<32768, 64>>>
[00000.096 ms] [16.695311] sumCuda<<<32768, 128>>>
[00000.150 ms] [16.695311] sumCuda<<<32768, 256>>>
[00000.183 ms] [16.168745] sumCuda<<<32768, 512>>>
[00000.222 ms] [16.272846] sumCuda<<<32768, 1024>>>

# Elements 1e+08
[00139.597 ms] [15.403683] sumSeq
[00000.562 ms] [18.997829] sumCuda<<<1024, 32>>>
[00000.480 ms] [18.997864] sumCuda<<<1024, 64>>>
[00000.474 ms] [18.997881] sumCuda<<<1024, 128>>>
[00000.475 ms] [18.997889] sumCuda<<<1024, 256>>>
[00000.485 ms] [18.997894] sumCuda<<<1024, 512>>>
[00000.474 ms] [18.997896] sumCuda<<<1024, 1024>>>
[00000.613 ms] [18.997864] sumCuda<<<2048, 32>>>
[00000.558 ms] [18.997881] sumCuda<<<2048, 64>>>
[00000.475 ms] [18.997887] sumCuda<<<2048, 128>>>
[00000.480 ms] [18.997892] sumCuda<<<2048, 256>>>
[00000.480 ms] [18.997896] sumCuda<<<2048, 512>>>
[00000.475 ms] [18.997896] sumCuda<<<2048, 1024>>>
[00000.547 ms] [18.997879] sumCuda<<<4096, 32>>>
[00000.501 ms] [18.997887] sumCuda<<<4096, 64>>>
[00000.479 ms] [18.997890] sumCuda<<<4096, 128>>>
[00000.474 ms] [18.997894] sumCuda<<<4096, 256>>>
[00000.473 ms] [18.997896] sumCuda<<<4096, 512>>>
[00000.473 ms] [18.997896] sumCuda<<<4096, 1024>>>
[00000.498 ms] [18.997887] sumCuda<<<8192, 32>>>
[00000.477 ms] [18.997890] sumCuda<<<8192, 64>>>
[00000.473 ms] [18.997894] sumCuda<<<8192, 128>>>
[00000.473 ms] [18.997894] sumCuda<<<8192, 256>>>
[00000.473 ms] [18.997896] sumCuda<<<8192, 512>>>
[00000.477 ms] [18.997898] sumCuda<<<8192, 1024>>>
[00000.483 ms] [18.997890] sumCuda<<<16384, 32>>>
[00000.473 ms] [18.997894] sumCuda<<<16384, 64>>>
[00000.477 ms] [18.997894] sumCuda<<<16384, 128>>>
[00000.477 ms] [18.997894] sumCuda<<<16384, 256>>>
[00000.473 ms] [18.997896] sumCuda<<<16384, 512>>>
[00000.512 ms] [18.997896] sumCuda<<<16384, 1024>>>
[00000.484 ms] [18.997892] sumCuda<<<32768, 32>>>
[00000.474 ms] [18.997894] sumCuda<<<32768, 64>>>
[00000.473 ms] [18.997894] sumCuda<<<32768, 128>>>
[00000.474 ms] [18.997898] sumCuda<<<32768, 256>>>
[00000.481 ms] [18.997896] sumCuda<<<32768, 512>>>
[00000.875 ms] [18.997894] sumCuda<<<32768, 1024>>>

# Elements 1e+09
[01384.584 ms] [15.403683] sumSeq
[00005.794 ms] [21.299603] sumCuda<<<1024, 32>>>
[00004.818 ms] [21.300037] sumCuda<<<1024, 64>>>
[00004.508 ms] [21.300262] sumCuda<<<1024, 128>>>
[00004.528 ms] [21.300373] sumCuda<<<1024, 256>>>
[00004.623 ms] [21.300426] sumCuda<<<1024, 512>>>
[00004.525 ms] [21.300455] sumCuda<<<1024, 1024>>>
[00006.373 ms] [21.300037] sumCuda<<<2048, 32>>>
[00005.414 ms] [21.300262] sumCuda<<<2048, 64>>>
[00004.532 ms] [21.300373] sumCuda<<<2048, 128>>>
[00004.620 ms] [21.300426] sumCuda<<<2048, 256>>>
[00004.504 ms] [21.300457] sumCuda<<<2048, 512>>>
[00004.496 ms] [21.300468] sumCuda<<<2048, 1024>>>
[00005.374 ms] [21.300262] sumCuda<<<4096, 32>>>
[00004.875 ms] [21.300371] sumCuda<<<4096, 64>>>
[00004.619 ms] [21.300428] sumCuda<<<4096, 128>>>
[00004.524 ms] [21.300453] sumCuda<<<4096, 256>>>
[00004.494 ms] [21.300470] sumCuda<<<4096, 512>>>
[00004.494 ms] [21.300476] sumCuda<<<4096, 1024>>>
[00004.812 ms] [21.300371] sumCuda<<<8192, 32>>>
[00004.591 ms] [21.300426] sumCuda<<<8192, 64>>>
[00004.507 ms] [21.300455] sumCuda<<<8192, 128>>>
[00004.493 ms] [21.300468] sumCuda<<<8192, 256>>>
[00004.491 ms] [21.300476] sumCuda<<<8192, 512>>>
[00004.489 ms] [21.300478] sumCuda<<<8192, 1024>>>
[00004.678 ms] [21.300430] sumCuda<<<16384, 32>>>
[00004.504 ms] [21.300455] sumCuda<<<16384, 64>>>
[00004.495 ms] [21.300468] sumCuda<<<16384, 128>>>
[00004.495 ms] [21.300474] sumCuda<<<16384, 256>>>
[00004.488 ms] [21.300478] sumCuda<<<16384, 512>>>
[00004.489 ms] [21.300478] sumCuda<<<16384, 1024>>>
[00004.646 ms] [21.300453] sumCuda<<<32768, 32>>>
[00004.520 ms] [21.300468] sumCuda<<<32768, 64>>>
[00004.494 ms] [21.300476] sumCuda<<<32768, 128>>>
[00004.488 ms] [21.300480] sumCuda<<<32768, 256>>>
[00004.488 ms] [21.300478] sumCuda<<<32768, 512>>>
[00004.490 ms] [21.300482] sumCuda<<<32768, 1024>>>
