elements,time,sum,technique,block_size,thread_duty
"1000000","1.786","14.392727","sumSeq","0","0"
"1000000","0.221","14.392727","sumCuda","32","1"
"1000000","0.105","14.392727","sumCuda","32","2"
"1000000","0.084","14.392727","sumCuda","32","3"
"1000000","0.067","14.392727","sumCuda","32","4"
"1000000","0.06","14.392727","sumCuda","32","6"
"1000000","0.049","14.392727","sumCuda","32","8"
"1000000","0.044","14.392727","sumCuda","32","12"
"1000000","0.043","14.392727","sumCuda","32","16"
"1000000","0.041","14.392727","sumCuda","32","24"
"1000000","0.043","14.392727","sumCuda","32","32"
"1000000","0.037","14.392727","sumCuda","32","48"
"1000000","0.042","14.392727","sumCuda","32","64"
"1000000","0.104","14.392727","sumCuda","64","1"
"1000000","0.069","14.392727","sumCuda","64","2"
"1000000","0.06","14.392727","sumCuda","64","3"
"1000000","0.046","14.392727","sumCuda","64","4"
"1000000","0.042","14.392727","sumCuda","64","6"
"1000000","0.041","14.392727","sumCuda","64","8"
"1000000","0.042","14.392727","sumCuda","64","12"
"1000000","0.039","14.392727","sumCuda","64","16"
"1000000","0.038","14.392727","sumCuda","64","24"
"1000000","0.037","14.392727","sumCuda","64","32"
"1000000","0.038","14.392727","sumCuda","64","48"
"1000000","0.039","14.392727","sumCuda","64","64"
"1000000","0.07","14.392727","sumCuda","128","1"
"1000000","0.054","14.392727","sumCuda","128","2"
"1000000","0.049","14.392727","sumCuda","128","3"
"1000000","0.041","14.392727","sumCuda","128","4"
"1000000","0.04","14.392727","sumCuda","128","6"
"1000000","0.038","14.392727","sumCuda","128","8"
"1000000","0.038","14.392727","sumCuda","128","12"
"1000000","0.036","14.392727","sumCuda","128","16"
"1000000","0.037","14.392727","sumCuda","128","24"
"1000000","0.037","14.392727","sumCuda","128","32"
"1000000","0.036","14.392727","sumCuda","128","48"
"1000000","0.042","14.392727","sumCuda","128","64"
"1000000","0.056","14.392727","sumCuda","256","1"
"1000000","0.048","14.392727","sumCuda","256","2"
"1000000","0.045","14.392727","sumCuda","256","3"
"1000000","0.041","14.392727","sumCuda","256","4"
"1000000","0.037","14.392727","sumCuda","256","6"
"1000000","0.039","14.392727","sumCuda","256","8"
"1000000","0.037","14.392727","sumCuda","256","12"
"1000000","0.038","14.392727","sumCuda","256","16"
"1000000","0.037","14.392727","sumCuda","256","24"
"1000000","0.036","14.392727","sumCuda","256","32"
"1000000","0.042","14.392727","sumCuda","256","48"
"1000000","0.039","14.392727","sumCuda","256","64"
"1000000","0.05","14.392727","sumCuda","512","1"
"1000000","0.045","14.392727","sumCuda","512","2"
"1000000","0.043","14.392727","sumCuda","512","3"
"1000000","0.04","14.392727","sumCuda","512","4"
"1000000","0.039","14.392727","sumCuda","512","6"
"1000000","0.039","14.392727","sumCuda","512","8"
"1000000","0.037","14.392727","sumCuda","512","12"
"1000000","0.039","14.392727","sumCuda","512","16"
"1000000","0.037","14.392727","sumCuda","512","24"
"1000000","0.037","14.392727","sumCuda","512","32"
"1000000","0.041","14.392727","sumCuda","512","48"
"1000000","0.043","14.392727","sumCuda","512","64"
"1000000","0.054","14.392727","sumCuda","1024","1"
"1000000","0.045","14.392727","sumCuda","1024","2"
"1000000","0.043","14.392727","sumCuda","1024","3"
"1000000","0.038","14.392727","sumCuda","1024","4"
"1000000","0.041","14.392727","sumCuda","1024","6"
"1000000","0.038","14.392727","sumCuda","1024","8"
"1000000","0.042","14.392727","sumCuda","1024","12"
"1000000","0.038","14.392727","sumCuda","1024","16"
"1000000","0.042","14.392727","sumCuda","1024","24"
"1000000","0.041","14.392727","sumCuda","1024","32"
"1000000","0.042","14.392727","sumCuda","1024","48"
"1000000","0.045","14.392727","sumCuda","1024","64"
"10000000","14.6","16.695311","sumSeq","0","0"
"10000000","0.409","16.695311","sumCuda","32","1"
"10000000","0.365","16.695311","sumCuda","32","2"
"10000000","0.369","16.695311","sumCuda","32","3"
"10000000","0.374","16.695311","sumCuda","32","4"
"10000000","0.321","16.695311","sumCuda","32","6"
"10000000","0.254","16.695311","sumCuda","32","8"
"10000000","0.2","16.695311","sumCuda","32","12"
"10000000","0.183","16.695311","sumCuda","32","16"
"10000000","0.163","16.695311","sumCuda","32","24"
"10000000","0.151","16.695311","sumCuda","32","32"
"10000000","0.144","16.695311","sumCuda","32","48"
"10000000","0.14","16.695311","sumCuda","32","64"
"10000000","0.392","16.695311","sumCuda","64","1"
"10000000","0.385","16.695311","sumCuda","64","2"
"10000000","0.314","16.695311","sumCuda","64","3"
"10000000","0.243","16.695311","sumCuda","64","4"
"10000000","0.2","16.695311","sumCuda","64","6"
"10000000","0.179","16.695311","sumCuda","64","8"
"10000000","0.158","16.695311","sumCuda","64","12"
"10000000","0.157","16.695311","sumCuda","64","16"
"10000000","0.142","16.695311","sumCuda","64","24"
"10000000","0.131","16.695311","sumCuda","64","32"
"10000000","0.126","16.695311","sumCuda","64","48"
"10000000","0.125","16.695311","sumCuda","64","64"
"10000000","0.395","16.695311","sumCuda","128","1"
"10000000","0.257","16.695311","sumCuda","128","2"
"10000000","0.204","16.695311","sumCuda","128","3"
"10000000","0.182","16.695311","sumCuda","128","4"
"10000000","0.159","16.695311","sumCuda","128","6"
"10000000","0.146","16.695311","sumCuda","128","8"
"10000000","0.138","16.695311","sumCuda","128","12"
"10000000","0.136","16.695311","sumCuda","128","16"
"10000000","0.128","16.695311","sumCuda","128","24"
"10000000","0.125","16.695311","sumCuda","128","32"
"10000000","0.123","16.695311","sumCuda","128","48"
"10000000","0.122","16.695311","sumCuda","128","64"
"10000000","0.298","16.695311","sumCuda","256","1"
"10000000","0.187","16.695311","sumCuda","256","2"
"10000000","0.16","16.695311","sumCuda","256","3"
"10000000","0.15","16.695311","sumCuda","256","4"
"10000000","0.139","16.695311","sumCuda","256","6"
"10000000","0.136","16.695311","sumCuda","256","8"
"10000000","0.132","16.695311","sumCuda","256","12"
"10000000","0.127","16.695311","sumCuda","256","16"
"10000000","0.123","16.695311","sumCuda","256","24"
"10000000","0.123","16.695311","sumCuda","256","32"
"10000000","0.124","16.695311","sumCuda","256","48"
"10000000","0.121","16.695311","sumCuda","256","64"
"10000000","0.248","16.695311","sumCuda","512","1"
"10000000","0.163","16.695311","sumCuda","512","2"
"10000000","0.14","16.695311","sumCuda","512","3"
"10000000","0.135","16.695311","sumCuda","512","4"
"10000000","0.127","16.695311","sumCuda","512","6"
"10000000","0.127","16.695311","sumCuda","512","8"
"10000000","0.127","16.695311","sumCuda","512","12"
"10000000","0.124","16.695311","sumCuda","512","16"
"10000000","0.121","16.695311","sumCuda","512","24"
"10000000","0.122","16.695311","sumCuda","512","32"
"10000000","0.124","16.695311","sumCuda","512","48"
"10000000","0.12","16.695311","sumCuda","512","64"
"10000000","0.262","16.695311","sumCuda","1024","1"
"10000000","0.168","16.695311","sumCuda","1024","2"
"10000000","0.147","16.695311","sumCuda","1024","3"
"10000000","0.133","16.695311","sumCuda","1024","4"
"10000000","0.129","16.695311","sumCuda","1024","6"
"10000000","0.13","16.695311","sumCuda","1024","8"
"10000000","0.129","16.695311","sumCuda","1024","12"
"10000000","0.145","16.695311","sumCuda","1024","16"
"10000000","0.128","16.695311","sumCuda","1024","24"
"10000000","0.124","16.695311","sumCuda","1024","32"
"10000000","0.127","16.695311","sumCuda","1024","48"
"10000000","0.127","16.695311","sumCuda","1024","64"
"100000000","155.919","18.997896","sumSeq","0","0"
"100000000","1.217","18.997896","sumCuda","32","1"
"100000000","1.16","18.997896","sumCuda","32","2"
"100000000","1.164","18.997896","sumCuda","32","3"
"100000000","1.161","18.997896","sumCuda","32","4"
"100000000","1.168","18.997896","sumCuda","32","6"
"100000000","1.166","18.997896","sumCuda","32","8"
"100000000","1.157","18.997896","sumCuda","32","12"
"100000000","1.163","18.997896","sumCuda","32","16"
"100000000","1.162","18.997896","sumCuda","32","24"
"100000000","1.162","18.997896","sumCuda","32","32"
"100000000","1.161","18.997896","sumCuda","32","48"
"100000000","1.101","18.997896","sumCuda","32","64"
"100000000","1.161","18.997896","sumCuda","64","1"
"100000000","1.156","18.997896","sumCuda","64","2"
"100000000","1.157","18.997896","sumCuda","64","3"
"100000000","1.158","18.997896","sumCuda","64","4"
"100000000","1.156","18.997896","sumCuda","64","6"
"100000000","1.156","18.997896","sumCuda","64","8"
"100000000","1.152","18.997896","sumCuda","64","12"
"100000000","1.151","18.997896","sumCuda","64","16"
"100000000","1.159","18.997896","sumCuda","64","24"
"100000000","1.099","18.997896","sumCuda","64","32"
"100000000","1.035","18.997896","sumCuda","64","48"
"100000000","1.009","18.997896","sumCuda","64","64"
"100000000","1.161","18.997896","sumCuda","128","1"
"100000000","1.155","18.997896","sumCuda","128","2"
"100000000","1.16","18.997896","sumCuda","128","3"
"100000000","1.154","18.997896","sumCuda","128","4"
"100000000","1.16","18.997896","sumCuda","128","6"
"100000000","1.158","18.997896","sumCuda","128","8"
"100000000","1.158","18.997896","sumCuda","128","12"
"100000000","1.097","18.997896","sumCuda","128","16"
"100000000","1.043","18.997896","sumCuda","128","24"
"100000000","1.014","18.997896","sumCuda","128","32"
"100000000","0.983","18.997896","sumCuda","128","48"
"100000000","0.981","18.997896","sumCuda","128","64"
"100000000","1.153","18.997896","sumCuda","256","1"
"100000000","1.157","18.997896","sumCuda","256","2"
"100000000","1.188","18.997896","sumCuda","256","3"
"100000000","1.148","18.997896","sumCuda","256","4"
"100000000","1.158","18.997896","sumCuda","256","6"
"100000000","1.095","18.997896","sumCuda","256","8"
"100000000","1.041","18.997896","sumCuda","256","12"
"100000000","1.01","18.997896","sumCuda","256","16"
"100000000","0.982","18.997896","sumCuda","256","24"
"100000000","0.969","18.997896","sumCuda","256","32"
"100000000","0.959","18.997896","sumCuda","256","48"
"100000000","0.952","18.997896","sumCuda","256","64"
"100000000","1.16","18.997896","sumCuda","512","1"
"100000000","1.174","18.997896","sumCuda","512","2"
"100000000","1.159","18.997896","sumCuda","512","3"
"100000000","1.101","18.997896","sumCuda","512","4"
"100000000","1.038","18.997896","sumCuda","512","6"
"100000000","1.009","18.997896","sumCuda","512","8"
"100000000","0.984","18.997896","sumCuda","512","12"
"100000000","0.971","18.997896","sumCuda","512","16"
"100000000","0.956","18.997896","sumCuda","512","24"
"100000000","0.955","18.997896","sumCuda","512","32"
"100000000","0.944","18.997896","sumCuda","512","48"
"100000000","0.946","18.997896","sumCuda","512","64"
"100000000","1.785","18.997896","sumCuda","1024","1"
"100000000","1.461","18.997896","sumCuda","1024","2"
"100000000","1.081","18.997896","sumCuda","1024","3"
"100000000","1.014","18.997896","sumCuda","1024","4"
"100000000","0.983","18.997896","sumCuda","1024","6"
"100000000","0.973","18.997896","sumCuda","1024","8"
"100000000","0.955","18.997896","sumCuda","1024","12"
"100000000","0.949","18.997896","sumCuda","1024","16"
"100000000","0.944","18.997896","sumCuda","1024","24"
"100000000","0.939","18.997896","sumCuda","1024","32"
"100000000","0.939","18.997896","sumCuda","1024","48"
"100000000","0.935","18.997896","sumCuda","1024","64"
"1000000000","1564.965","21.300482","sumSeq","0","0"
"1000000000","9.457","21.300482","sumCuda","32","1"
"1000000000","9.448","21.300482","sumCuda","32","2"
"1000000000","9.446","21.300482","sumCuda","32","3"
"1000000000","9.442","21.300482","sumCuda","32","4"
"1000000000","9.44","21.300482","sumCuda","32","6"
"1000000000","9.437","21.300482","sumCuda","32","8"
"1000000000","9.441","21.300482","sumCuda","32","12"
"1000000000","9.45","21.300482","sumCuda","32","16"
"1000000000","9.447","21.300482","sumCuda","32","24"
"1000000000","9.442","21.300482","sumCuda","32","32"
"1000000000","9.441","21.300482","sumCuda","32","48"
"1000000000","9.443","21.300482","sumCuda","32","64"
"1000000000","9.216","21.300482","sumCuda","64","1"
"1000000000","9.213","21.300482","sumCuda","64","2"
"1000000000","9.209","21.300482","sumCuda","64","3"
"1000000000","9.209","21.300482","sumCuda","64","4"
"1000000000","9.212","21.300482","sumCuda","64","6"
"1000000000","9.209","21.300482","sumCuda","64","8"
"1000000000","9.21","21.300482","sumCuda","64","12"
"1000000000","9.208","21.300482","sumCuda","64","16"
"1000000000","9.218","21.300482","sumCuda","64","24"
"1000000000","9.252","21.300482","sumCuda","64","32"
"1000000000","9.216","21.300482","sumCuda","64","48"
"1000000000","9.207","21.300482","sumCuda","64","64"
"1000000000","9.221","21.300482","sumCuda","128","1"
"1000000000","9.219","21.300482","sumCuda","128","2"
"1000000000","9.218","21.300482","sumCuda","128","3"
"1000000000","9.216","21.300482","sumCuda","128","4"
"1000000000","9.22","21.300482","sumCuda","128","6"
"1000000000","9.223","21.300482","sumCuda","128","8"
"1000000000","9.215","21.300482","sumCuda","128","12"
"1000000000","9.218","21.300482","sumCuda","128","16"
"1000000000","9.218","21.300482","sumCuda","128","24"
"1000000000","9.217","21.300482","sumCuda","128","32"
"1000000000","9.221","21.300482","sumCuda","128","48"
"1000000000","9.218","21.300482","sumCuda","128","64"
"1000000000","9.17","21.300482","sumCuda","256","1"
"1000000000","9.175","21.300482","sumCuda","256","2"
"1000000000","9.173","21.300482","sumCuda","256","3"
"1000000000","9.173","21.300482","sumCuda","256","4"
"1000000000","9.174","21.300482","sumCuda","256","6"
"1000000000","9.173","21.300482","sumCuda","256","8"
"1000000000","9.172","21.300482","sumCuda","256","12"
"1000000000","9.174","21.300482","sumCuda","256","16"
"1000000000","9.168","21.300482","sumCuda","256","24"
"1000000000","9.164","21.300482","sumCuda","256","32"
"1000000000","9.173","21.300482","sumCuda","256","48"
"1000000000","9.159","21.300482","sumCuda","256","64"
"1000000000","9.167","21.300482","sumCuda","512","1"
"1000000000","9.168","21.300482","sumCuda","512","2"
"1000000000","9.202","21.300482","sumCuda","512","3"
"1000000000","9.166","21.300482","sumCuda","512","4"
"1000000000","9.165","21.300482","sumCuda","512","6"
"1000000000","9.156","21.300482","sumCuda","512","8"
"1000000000","9.163","21.300482","sumCuda","512","12"
"1000000000","9.168","21.300482","sumCuda","512","16"
"1000000000","9.164","21.300482","sumCuda","512","24"
"1000000000","9.153","21.300482","sumCuda","512","32"
"1000000000","9.079","21.300482","sumCuda","512","48"
"1000000000","9.044","21.300482","sumCuda","512","64"
"1000000000","9.175","21.300482","sumCuda","1024","1"
"1000000000","9.165","21.300482","sumCuda","1024","2"
"1000000000","9.165","21.300482","sumCuda","1024","3"
"1000000000","9.165","21.300482","sumCuda","1024","4"
"1000000000","9.167","21.300482","sumCuda","1024","6"
"1000000000","9.171","21.300482","sumCuda","1024","8"
"1000000000","9.162","21.300482","sumCuda","1024","12"
"1000000000","9.148","21.300482","sumCuda","1024","16"
"1000000000","9.082","21.300482","sumCuda","1024","24"
"1000000000","9.042","21.300482","sumCuda","1024","32"
"1000000000","9.008","21.300482","sumCuda","1024","48"
"1000000000","8.994","21.300482","sumCuda","1024","64"
