elements,time,sum,technique
"1000000","1.977","14.357358","sumSeq"
"1000000","0.039","14.392739","sumMemcpyCuda"
"1000000","0.031","14.392727","sumInplaceCuda"
"10000000","14.434","15.403683","sumSeq"
"10000000","0.08","16.695312","sumMemcpyCuda"
"10000000","0.075","16.695312","sumInplaceCuda"
"100000000","162.879","15.403683","sumSeq"
"100000000","0.475","18.997889","sumMemcpyCuda"
"100000000","0.473","18.997881","sumInplaceCuda"
"1000000000","1580.946","15.403683","sumSeq"
"1000000000","4.517","21.300274","sumMemcpyCuda"
"1000000000","4.507","21.300262","sumInplaceCuda"
