#,Address,Source,Live Registers
,,sumKernel,
1,00007f07 42f99b00,"     IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28] ",3
2,00007f07 42f99b10,"@!PT SHFL.IDX PT, RZ, RZ, RZ, RZ ",3
3,00007f07 42f99b20,"     S2R R0, SR_CTAID.X ",4
4,00007f07 42f99b30,"     BMOV.32.CLEAR RZ, B0 ",4
5,00007f07 42f99b40,"     BSSY B0, 0x7f0742f99fe0 ",4
6,00007f07 42f99b50,"     IMAD.MOV.U32 R11, RZ, RZ, c[0x0][0x0] ",5
7,00007f07 42f99b60,"     S2R R3, SR_TID.X ",6
8,00007f07 42f99b70,"     IMAD.MOV.U32 R2, RZ, RZ, c[0x0][0x0] ",7
9,00007f07 42f99b80,"     MOV R10, RZ ",8
10,00007f07 42f99b90,"     IMAD R5, R0, c[0x0][0x0], R3 ",9
11,00007f07 42f99ba0,"     ISETP.GE.AND P0, PT, R5, c[0x0][0x170], PT ",9
12,00007f07 42f99bb0,@P0  BRA 0x7f0742f99fd0 ,9
13,00007f07 42f99bc0,"     IMAD R4, R11, c[0x0][0xc], RZ ",10
14,00007f07 42f99bd0,"     BMOV.32.CLEAR RZ, B1 ",10
15,00007f07 42f99be0,"     BSSY B1, 0x7f0742f99e60 ",10
16,00007f07 42f99bf0,"     IMAD.IADD R6, R4, 0x1, R5 ",10
17,00007f07 42f99c00,"     ISETP.NE.U32.AND P2, PT, R4, RZ, PT ",10
18,00007f07 42f99c10,"     I2F.U32.RP R8, R4 ",11
19,00007f07 42f99c20,"     IMAD.MOV R13, RZ, RZ, -R4 ",12
20,00007f07 42f99c30,"     LOP3.LUT R9, RZ, R6, RZ, 0x33, !PT ",13
21,00007f07 42f99c40,"     IMAD.MOV.U32 R6, RZ, RZ, RZ ",13
22,00007f07 42f99c50,"     IADD3 R9, R9, c[0x0][0x170], R4 ",13
23,00007f07 42f99c60,"     MUFU.RCP R8, R8 ",13
24,00007f07 42f99c70,"     IADD3 R10, R8, 0xffffffe, RZ ",13
25,00007f07 42f99c80,"     F2I.FTZ.U32.TRUNC.NTZ R7, R10 ",13
26,00007f07 42f99c90,"     IMAD.MOV.U32 R10, RZ, RZ, RZ ",13
27,00007f07 42f99ca0,"     IMAD R13, R13, R7, RZ ",13
28,00007f07 42f99cb0,"     IMAD.WIDE.U32 R6, R7, R13, R6 ",13
29,00007f07 42f99cc0,"     IMAD.WIDE.U32 R6, R7, R9, RZ ",12
30,00007f07 42f99cd0,"     IADD3 R6, -R7, RZ, RZ ",12
31,00007f07 42f99ce0,"     IMAD R9, R4, R6, R9 ",12
32,00007f07 42f99cf0,"     ISETP.GE.U32.AND P0, PT, R9, R4, PT ",12
33,00007f07 42f99d00,"@P0  IMAD.IADD R9, R9, 0x1, -R4 ",12
34,00007f07 42f99d10,"@P0  IADD3 R7, R7, 0x1, RZ ",12
35,00007f07 42f99d20,"     ISETP.GE.U32.AND P1, PT, R9, R4, PT ",12
36,00007f07 42f99d30,"@P1  IADD3 R7, R7, 0x1, RZ ",11
37,00007f07 42f99d40,"@!P2 LOP3.LUT R7, RZ, R4, RZ, 0x33, !PT ",11
38,00007f07 42f99d50,"     IADD3 R6, R7, 0x1, RZ ",11
39,00007f07 42f99d60,"     ISETP.GE.U32.AND P1, PT, R7, 0x3, PT ",11
40,00007f07 42f99d70,"     LOP3.LUT R6, R6, 0x3, RZ, 0xc0, !PT ",11
41,00007f07 42f99d80,"     ISETP.NE.AND P0, PT, R6, RZ, PT ",11
42,00007f07 42f99d90,@!P0 BRA 0x7f0742f99e50 ,11
43,00007f07 42f99da0,"     IMAD.MOV.U32 R12, RZ, RZ, 0x4 ",12
44,00007f07 42f99db0,"     MOV R8, R6 ",12
45,00007f07 42f99dc0,"     IMAD.MOV.U32 R10, RZ, RZ, RZ ",12
